Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
242500;	85 0.0786388 0.0783323;	85 0.0786388 0.0783323;	84 0.0786389 0.0783323;	85 0.0786389 0.0783323;	84 0.078639 0.0783323;	84 0.0786398 0.0783985;	84 0.0786398 0.0783323;	
245000;	85 0.0786388 0.0783323;	85 0.0786388 0.0783323;	84 0.0786389 0.0783323;	85 0.0786389 0.0783323;	84 0.078639 0.0783323;	84 0.0786398 0.0783985;	84 0.0786398 0.0783323;	
247500;	85 0.0786388 0.0783323;	85 0.0786388 0.0783323;	84 0.0786389 0.0783323;	85 0.0786389 0.0783323;	84 0.0786389 0.0783323;	84 0.078639 0.0783323;	83 0.078639 0.0783323;	
250000;	85 0.0786388 0.0783323;	85 0.0786388 0.0783323;	84 0.0786389 0.0783323;	85 0.0786389 0.0783323;	84 0.0786389 0.0783323;	84 0.078639 0.0783323;	83 0.078639 0.0783323;	
Best: Len=85; Trn=0.0786388; Val=0.0783323; Tst=0.0811027;


#Evaluations = 1500006
Best evolved individual:
  Length = 85
  Training error   = 0.0786388
  Validating error = 0.0783323
  Testing error    = 0.0811027
  Genotype: 0,3 0,6 11,0 0,3 6,2 0,4 11,0 7,1 a,a 6,3 0,0 0,7 6,1 0,0 e,0 0,0 3,4 6,2 b,2 10,0 a,1 4,1 a,6 a,8 10,0 8,3 3,5 6,4 3,5 6,1 6,6 6,4 10,0 6,6 2,1 d,2 10,0 c,2 5,5 c,2 7,0 2,0 e,0 2,4 2,4 4,a 0,4 d,2 a,1 d,1 10,0 10,0 4,1 2,0 11,0 5,1 8,1 0,5 3,5 5,1 d,6 10,0 3,1 11,0 a,0 0,1 0,3 0,0 9,4 10,0 0,0 e,0 c,6 a,0 0,0 2,4 0,0 0,5 10,0 0,4 0,3 e,0 9,6 0,6 0,6 2,5 6,2 5,4 0,4 0,0 2,4 6,2 e,0 a,1 0,2 2,3 0,4 0,0 0,2 0,3 e,0 3,6 10,0 10,0 0,0 10,0 b,2 0,0 e,0 0,6 0,0 2,6 0,2 0,6 e,0 0,2 0,7 0,5 0,0 0,7 0,2 4,3 11,0 0,4 2,1 0,5 0,1 10,0 
Duration = 00:07:37.3437500
