Gen;	BestValidIndiv;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
242500;	86 0.12101 0.127169;	92 0.115872 0.192819;	87 0.115891 0.190674;	86 0.115891 0.190674;	89 0.115891 0.190674;	89 0.115892 0.190669;	90 0.115892 0.190668;	
245000;	86 0.12101 0.127169;	93 0.114353 0.18918;	91 0.114353 0.18918;	93 0.114353 0.18918;	92 0.114359 0.189191;	93 0.114359 0.189191;	93 0.114359 0.189191;	
247500;	86 0.12101 0.127169;	95 0.114153 0.188916;	94 0.114263 0.188968;	91 0.11429 0.188846;	90 0.114297 0.188694;	92 0.114302 0.189043;	90 0.114327 0.188823;	
250000;	86 0.12101 0.127169;	93 0.11353 0.188995;	88 0.114118 0.189041;	91 0.114118 0.189041;	92 0.114118 0.189041;	90 0.114128 0.189024;	90 0.114128 0.189024;	
Best: Len=86; Trn=0.12101; Val=0.127169; Tst=0.131871;

2500;	42 0.204909 0.205442;	43 0.203037 0.207781;	37 0.203145 0.213816;	46 0.203377 0.205891;	38 0.203666 0.206976;	37 0.203907 0.206581;	37 0.204238 0.206099;	
5000;	62 0.17558 0.182664;	55 0.174156 0.195156;	49 0.174642 0.195323;	56 0.174644 0.195323;	55 0.174795 0.18775;	52 0.175235 0.196186;	58 0.17528 0.196403;	
7500;	57 0.151189 0.159782;	57 0.151189 0.159782;	52 0.152215 0.161272;	54 0.152768 0.185444;	56 0.156571 0.211896;	49 0.159566 0.183449;	60 0.160724 0.207457;	
10000;	61 0.144944 0.151154;	49 0.144287 0.153512;	57 0.144763 0.155196;	61 0.144944 0.151154;	59 0.14502 0.161272;	61 0.145028 0.207457;	57 0.145064 0.152797;	
12500;	65 0.143246 0.150385;	61 0.141268 0.156355;	69 0.141619 0.15136;	62 0.141676 0.151308;	59 0.141774 0.151592;	59 0.141936 0.152925;	64 0.142009 0.15209;	
15000;	64 0.14206 0.14721;	61 0.140324 0.151811;	61 0.14037 0.151946;	60 0.140379 0.151218;	65 0.140401 0.151752;	62 0.140509 0.151647;	56 0.140685 0.151472;	
